0,1,2,3,4,5,6,7,8,
45,1.8,1.9,1.9,2,3,3.1,3.3,3.4,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('45','1.8','1.9','1.9','2','3','3.1','3.3','3.4');"
45.5,1.8,1.9,2,2.1,3.1,3.2,3.4,3.5,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('45.5','1.8','1.9','2','2.1','3.1','3.2','3.4','3.5');"
46,1.9,2,2.1,2.2,3.1,3.2,3.5,3.6,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('46','1.9','2','2.1','2.2','3.1','3.2','3.5','3.6');"
46.5,2,2.1,2.2,2.3,3.2,3.3,3.6,3.7,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('46.5','2','2.1','2.2','2.3','3.2','3.3','3.6','3.7');"
47,2,2.1,2.2,2.3,3.3,3.4,3.7,3.8,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('47','2','2.1','2.2','2.3','3.3','3.4','3.7','3.8');"
47.5,2.1,2.2,2.3,2.4,3.4,3.5,3.8.,3.9,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('47.5','2.1','2.2','2.3','2.4','3.4','3.5','3.8.','3.9');"
48,2.2,2.3,2.4,2.5,3.6,3.7,3.9,4,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('48','2.2','2.3','2.4','2.5','3.6','3.7','3.9','4');"
48.5,2.2,2.3,2.5,2.6,3.7,3.8,4,4.1,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('48.5','2.2','2.3','2.5','2.6','3.7','3.8','4','4.1');"
49,2.3,2.4,2.5,2.6,3.8,3.9,4.2,4.3,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('49','2.3','2.4','2.5','2.6','3.8','3.9','4.2','4.3');"
49.5,2.4,2.5,2.6,2.7,3.9,4,4.3,4.4,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('49.5','2.4','2.5','2.6','2.7','3.9','4','4.3','4.4');"
50,2.5,2.6,2.7,2.8,4,4.1,4.4,4.5,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('50','2.5','2.6','2.7','2.8','4','4.1','4.4','4.5');"
50.5,2.6,2.7,2.8,2.9,4.1,4.2,4.5,4.6,"INSERT INTO `tbl_weight_for_length`(`length`, `severely_wasted`, `wasted_from`, `wasted_to`, `normal_from`, `normal_to`, `overweight_from`, `overweight_to`, `obese`) VALUES ('50.5','2.6','2.7','2.8','2.9','4.1','4.2','4.5','4.6');"
